Utterance,ExpectedIntent,ExpectedSlots
"asdf jkl semicolon qwerty",AMAZON.FallbackIntent,"{}"
"flibber flabber snoo snoo bazooka",AMAZON.FallbackIntent,"{}"
"blip blop beep boop zorp",AMAZON.FallbackIntent,"{}"
"skibidi toilet rizz sigma",AMAZON.FallbackIntent,"{}"
"gobbledygook banana rama ding dong",AMAZON.FallbackIntent,"{}"
"supercalifragilisticexpialidocious",AMAZON.FallbackIntent,"{}"
"abracadabra hocus pocus alakazam",AMAZON.FallbackIntent,"{}"
"turn off the living room lights",AMAZON.FallbackIntent,"{}"
"set a timer for ten minutes",AMAZON.FallbackIntent,"{}"
"what's the weather in Seattle",AMAZON.FallbackIntent,"{}"
"play music on Spotify",AMAZON.FallbackIntent,"{}"
"set an alarm for seven a.m.",AMAZON.FallbackIntent,"{}"
"order a large pepperoni pizza from domino's",AMAZON.FallbackIntent,"{}"
"can I get a big mac and fries",AMAZON.FallbackIntent,"{}"
"order sushi delivery right now",AMAZON.FallbackIntent,"{}"
"how much does a chipotle burrito cost",AMAZON.FallbackIntent,"{}"
"who won the high school football game last night",AMAZON.FallbackIntent,"{}"
"what time does the school bus arrive",AMAZON.FallbackIntent,"{}"
"when is parent teacher conference",AMAZON.FallbackIntent,"{}"
"call the attendance office",AMAZON.FallbackIntent,"{}"
"who is the high school principal",AMAZON.FallbackIntent,"{}"
"um yeah whatever you know",AMAZON.FallbackIntent,"{}"
"testing one two three is this thing on",AMAZON.FallbackIntent,"{}"
"hey mom where did you put my shoes",AMAZON.FallbackIntent,"{}"
"what is the capital of Nebraska",AMAZON.FallbackIntent,"{}"
"tell me a joke",AMAZON.FallbackIntent,"{}"
"sing me a song",AMAZON.FallbackIntent,"{}"
"flip a coin heads or tails",AMAZON.FallbackIntent,"{}"
"how old is the universe in light years",AMAZON.FallbackIntent,"{}"
"open netflix on the tv",AMAZON.FallbackIntent,"{}"
"four eight fifteen sixteen twenty three forty two",AMAZON.FallbackIntent,"{}"
"blah blah blah whatever dude",AMAZON.FallbackIntent,"{}"
"I didn't say anything go away",AMAZON.FallbackIntent,"{}"
