Utterance,ExpectedIntent,ExpectedSlots
"what's for lunch today for elementary",GetLunchIntent,"{""mealType"":""lunch"",""date"":""today"",""schoolLevel"":""elementary""}"
"what's the menu for tomorrow for elementary",GetLunchIntent,"{""mealType"":""both"",""date"":""tomorrow"",""schoolLevel"":""elementary""}"
"what's for breakfast tomorrow for high school",GetLunchIntent,"{""mealType"":""breakfast"",""date"":""tomorrow"",""schoolLevel"":""high school""}"
"what are they having for lunch next week for middle school",GetLunchIntent,"{""mealType"":""lunch"",""date"":""next week"",""schoolLevel"":""middle""}"
"tell me the elementary school menu for Friday",GetLunchIntent,"{""mealType"":""both"",""date"":""Friday"",""schoolLevel"":""elementary""}"
"what is for lunch for k through five on monday",GetLunchIntent,"{""mealType"":""lunch"",""date"":""Monday"",""schoolLevel"":""elementary""}"
"what was for lunch yesterday for elementary school",GetLunchIntent,"{""mealType"":""lunch"",""date"":""yesterday"",""schoolLevel"":""elementary""}"
"tell me what's for breakfast today for sugar creek",GetLunchIntent,"{""mealType"":""breakfast"",""date"":""today"",""schoolLevel"":""elementary""}"
"what's vahs having for breakfast and lunch tomorrow",GetLunchIntent,"{""mealType"":""both"",""date"":""tomorrow"",""schoolLevel"":""high school""}"
"what is grades six through eight having for lunch today",GetLunchIntent,"{""mealType"":""lunch"",""date"":""today"",""schoolLevel"":""middle""}"
"tell me the nine through twelve lunch menu for tomorrow",GetLunchIntent,"{""mealType"":""lunch"",""date"":""tomorrow"",""schoolLevel"":""high school""}"
"what's for lunch on october fifth for middle school",GetLunchIntent,"{""mealType"":""lunch"",""date"":""October 5th"",""schoolLevel"":""middle""}"
"what's for lunch at elementary school",GetLunchIntent,"{""mealType"":""lunch"",""schoolLevel"":""elementary""}"
"what's for breakfast for high school",GetLunchIntent,"{""mealType"":""breakfast"",""schoolLevel"":""high school""}"
"tell me the middle school menu",GetLunchIntent,"{""mealType"":""both"",""schoolLevel"":""middle""}"
"what's for lunch today",GetLunchIntent,"{""mealType"":""lunch"",""date"":""today""}"
"what's for breakfast tomorrow",GetLunchIntent,"{""mealType"":""breakfast"",""date"":""tomorrow""}"
"what is the menu for next week",GetLunchIntent,"{""mealType"":""both"",""date"":""next week""}"
"open the menu",GetLunchIntent,"{""mealType"":""both""}"
"elementary",GetLunchIntent,"{""schoolLevel"":""elementary""}"
"middle school",GetLunchIntent,"{""schoolLevel"":""middle""}"
"high school",GetLunchIntent,"{""schoolLevel"":""high school""}"
"breakfast",GetLunchIntent,"{""mealType"":""breakfast""}"
"lunch",GetLunchIntent,"{""mealType"":""lunch""}"
"both",GetLunchIntent,"{""mealType"":""both""}"
"today",GetLunchIntent,"{""date"":""today""}"
"tomorrow",GetLunchIntent,"{""date"":""tomorrow""}"
"next week",GetLunchIntent,"{""date"":""next week""}"
"see more",SeeMoreIntent,"{}"
"show photos",SeeMoreIntent,"{}"
"view pictures",SeeMoreIntent,"{}"
"photo gallery",SeeMoreIntent,"{}"
"back",BackToMenuIntent,"{}"
"back to menu",BackToMenuIntent,"{}"
"show the dinner menu",BackToMenuIntent,"{}"
"help",AMAZON.HelpIntent,"{}"
"cancel",AMAZON.CancelIntent,"{}"
"stop",AMAZON.StopIntent,"{}"
